Accuracy U,dprime U,Accuracy C,dprime C
0.494736842,-0.05497796,1,4.564101006
0.541176471,0.208449294,1,4.646555392
0.568345324,0.348262505,1,4.497675192
0.371428571,-1.285221423,0.991666667,4.517452154
0.533678756,-0.116115028,1,4.821993689
0.539215686,0.282454623,0.895833333,2.703990435
0.517073171,0.080639485,0.966666667,3.70970783
0.620689655,-0.274206531,0.957446809,3.539441793
0.457142857,-0.253347103,1,4.805367914
0.552941176,0.248615602,0.981818182,4.154722621
0.408163265,-0.503932145,0.9921875,4.568868125
0.606557377,0.659926137,0.991735537,4.514714154
0.471153846,-0.144793195,0.982300885,4.182077797
0.525423729,0.073334733,1,4.752849434
0.552380952,0.275110163,0.977777778,3.692253051
0.547169811,0.23133755,1,4.605886548
0.535353535,-0.040674142,1,4.538177324
0.53968254,0.169612904,1,4.811005093
0.436842105,-0.389314922,0.96969697,3.789387785
0.471698113,-0.903413718,0.902439024,2.693769597
0.550632911,0.122670988,0.981818182,3.886321054
0.455399061,-0.240445849,1,3.752241828
0.411290323,-0.34006086,0.989690722,4.35681171
0.492647059,-0.292931816,0.989247312,4.294970212
0.526595745,0.235244042,1,4.25835372
0.493150685,-0.035816632,0.967741935,3.736012619
