"","b_Intercept","sd_subject_id__Intercept","Intercept","r_subject_id[501,Intercept]","r_subject_id[502,Intercept]","r_subject_id[503,Intercept]","r_subject_id[504,Intercept]","r_subject_id[505,Intercept]","r_subject_id[506,Intercept]","r_subject_id[507,Intercept]","r_subject_id[508,Intercept]","r_subject_id[509,Intercept]","r_subject_id[510,Intercept]","r_subject_id[511,Intercept]","r_subject_id[512,Intercept]","r_subject_id[513,Intercept]","r_subject_id[514,Intercept]","r_subject_id[515,Intercept]","r_subject_id[516,Intercept]","r_subject_id[517,Intercept]","r_subject_id[518,Intercept]","r_subject_id[519,Intercept]","r_subject_id[520,Intercept]","r_subject_id[521,Intercept]","r_subject_id[522,Intercept]","r_subject_id[523,Intercept]","r_subject_id[524,Intercept]","r_subject_id[525,Intercept]","r_subject_id[526,Intercept]","lprior","lp__"
"1",4.2799201,0.8409018,4.2799201,0.1371763,-0.87452586,0.11181765,0.063195911,0.481044,-2.0069449,-1.2009843,-0.95986413,0.64782829,-0.41028978,0.65851408,-0.34298868,0.60163096,0.622049,-0.68364885,1.7005744,0.85263105,1.7062048,-0.45954484,-1.7708535,-0.019823971,1.5475804,1.1969968,-0.0061866761,0.61037611,-1.7566752,-6.235909,-206.62711
"2",4.6421626,1.7231771,4.6421626,1.6419982,3.8089491,1.587392,0.45651877,1.2872025,-1.9531786,-0.47662476,-1.4846912,0.99140112,0.59405811,-0.40010853,2.0051754,-0.6966773,1.0946861,0.32851006,-0.47621258,0.66261053,0.48177313,-1.2408581,-1.4691582,-0.44756783,-1.564867,-0.54230503,0.13559495,0.46339996,0.39241191,-7.8363971,-196.3256
"3",4.3618468,1.4588488,4.3618468,0.53785441,0.98387757,2.10092,0.44172195,1.0554131,-1.7434058,-0.93297482,-0.98663556,1.338778,1.1136041,-0.035925208,0.64166397,-0.35860499,1.0589795,-1.2260171,0.33346908,1.4720801,1.9152779,-0.11607118,-2.0738828,-0.65239517,1.4047458,0.2744032,-0.033670104,0.49828998,-0.36550116,-7.0111874,-190.02243
"4",4.2944102,1.4950371,4.2944102,0.8841969,1.2891612,2.1800119,0.54978325,3.0018968,-1.7398127,-0.30355878,-1.0229886,1.5992118,-0.9914963,1.1037155,0.055844311,0.062077324,1.2209035,0.98968069,1.7931981,1.6322759,1.5550966,-1.1827804,-1.3374231,0.091203201,-0.42736496,-0.06964998,0.5149026,1.2274337,-0.86999271,-6.9176538,-190.99946
"5",4.4092227,1.4068426,4.4092227,0.084708841,-0.1703424,1.6832757,1.092289,2.5785281,-1.3506895,-1.1095415,-1.4617524,0.9456733,0.40730683,0.16417951,-0.78024732,-0.50088764,0.92078048,0.28295764,1.5082685,0.31814837,2.1984847,-1.3341001,-1.4857104,-1.4573079,0.75332167,-0.39974524,0.1591173,2.8227694,-1.4062918,-7.0515228,-196.38231
"6",4.7336336,1.446701,4.7336336,0.15602032,1.8316513,1.3130487,-0.30365868,3.6422742,-1.7868237,-1.7766168,-0.15834393,0.13743603,-0.51595934,-0.19653549,0.3956397,-0.0031039687,1.7080778,1.2413194,1.4657963,-0.91903505,2.780215,-0.66678798,-1.7948991,-0.82470821,1.5250064,-0.92653786,0.099213152,1.6826925,-0.99469635,-7.7505017,-199.84607
"7",4.2119005,1.0085759,4.2119005,1.4637571,0.37059304,0.56772168,0.7283016,-0.30853996,-1.9613125,0.42134806,-1.860485,0.64627159,0.19035187,0.26715734,-0.27999523,0.15872579,0.94050852,-0.53885791,0.75254286,1.6671951,0.36570305,-0.70140369,-1.6759102,0.95013897,0.8573662,0.52163761,0.22747037,0.71708367,-0.59982049,-6.2752253,-198.50599
"8",4.9640534,1.6294445,4.9640534,1.1762393,-0.33023152,0.51216178,0.86260848,2.0559173,-2.5996097,-1.4120896,-1.6631105,1.442502,0.29209341,0.066696931,-1.110802,-1.134629,3.5289,-1.3009114,2.1600633,2.3480412,0.077834151,-1.1431925,-1.7814526,2.2075299,-0.43566038,0.36426937,0.28600689,1.2828716,-0.30463708,-8.4298096,-198.10578
"9",4.3274265,1.0460629,4.3274265,0.7926927,1.3031384,0.51492103,-0.21044434,0.41100091,-2.0132119,-0.48008206,-1.1605437,1.3539047,-0.91309606,-0.12004058,1.042304,0.38089422,0.36012748,0.075896925,0.06910716,0.94091381,1.1565942,-0.93578289,-2.0106086,-0.95523464,0.12847828,-0.38872827,-0.28377866,0.49624507,-1.587722,-6.5319376,-195.48483
"10",4.8008794,0.93533079,4.8008794,0.30240984,1.530916,1.1153578,0.6963175,-0.24758694,-1.4582014,0.28191234,-0.74005836,1.2395046,-0.57656457,-0.35882816,0.92469207,-0.72620567,0.027240539,-0.61090621,0.71521388,-0.070001438,1.8748354,-0.59286505,-2.294955,-0.55813633,0.67127961,-0.3385218,-0.42922811,0.42552396,-1.1157511,-7.3816106,-201.51449
