Accuracy U,dprime U,Accuracy C,dprime C,Accuracy C2,dprime C2
0.522875817,0.044810611,0.974358974,3.896908456,0.96,3.501372143
0.6,0.460123873,0.988235294,4.236008584,1,4.95125967
0.594936709,0.541805168,0.967479675,3.689922489,1,1.824839131
0.430107527,-0.353451728,0.974576271,3.92860914,0.986928105,4.416612298
0.454545455,-0.255829651,1,4.821993689,0.983122363,4.344643255
0.527131783,0.189340924,0.91,2.686623126,0.821782178,1.947570376
0.571428571,0.429896467,0.990740741,4.422990885,1,4.918269642
0.527472527,0.145228742,0.9875,4.195608949,1,1.3489795
0.4,-0.488776411,1,4.672885785,0.995215311,4.934352145
0.444444444,-0.342417908,0.988636364,4.279275192,0.965753425,3.648620683
0.575471698,0.374639171,0.966666667,3.769559528,0.992248062,4.57633097
0.552795031,0.246800262,1,4.769634858,1,2.84097101
0.526315789,0.127280201,0.971698113,3.855479725,0.971014493,3.791726456
0.5,-0.131204589,0.955223881,3.425619804,0.964285714,3.982153709
0.5,-0.566698978,1,4.813379383,1,5.246187692
0.535714286,0.185439773,1,4.794016177,0.909090909,2.686623126
0.562043796,0.392341618,0.941747573,3.187394193,1,1.3489795
0.6,0.49829244,0.99009901,4.388703816,0.957627119,3.459446668
0.476190476,-0.188234571,1,4.768603436,0.954545455,3.396831071
0.474226804,-0.097572941,0.991304348,4.44044684,1,1.641911316
0.408602151,-0.464048225,0.991304348,4.488864078,1,NaN
0.55,0.316542005,1,4.632445166,1,5.312045537
0.52293578,-0.05415052,0.988235294,4.2173857,0.964912281,3.583705352
0.537234043,0.220351015,0.963636364,3.588898652,1,2.300698761
0.5625,0.355850386,0.967032967,3.805458826,0.942857143,3.070735601
0.466666667,-0.117280816,0.965811966,3.748509438,NaN,NaN
