Accuracy U,dprime U,Accuracy C,dprime C,Accuracy C2,dprime C2
0.494736842,-0.05497796,1,4.564101006,1,3.26578494
0.541176471,0.208449294,1,4.646555392,0.993975904,4.755084961
0.568345324,0.348262505,1,4.497675192,1,4.319981447
0.371428571,-1.285221423,0.991666667,4.517452154,0.966480447,3.706563019
0.533678756,-0.116115028,1,4.821993689,NaN,NaN
0.539215686,0.282454623,0.895833333,2.703990435,0.925,2.926405192
0.517073171,0.080639485,0.966666667,3.70970783,NaN,NaN
0.620689655,-0.274206531,0.957446809,3.539441793,1,5.23862903
0.457142857,-0.253347103,1,4.805367914,0.942675159,3.270149125
0.552941176,0.248615602,0.981818182,4.154722621,1,4.48170858
0.408163265,-0.503932145,0.9921875,4.568868125,0.995633188,4.998227919
0.606557377,0.659926137,0.991735537,4.514714154,0.986928105,4.447213378
0.471153846,-0.144793195,0.982300885,4.182077797,1,NaN
0.525423729,0.073334733,1,4.752849434,0.625,0.565948822
0.552380952,0.275110163,0.977777778,3.692253051,1,NaN
0.547169811,0.23133755,1,4.605886548,0.990909091,4.451421301
0.535353535,-0.040674142,1,4.538177324,NaN,NaN
0.53968254,0.169612904,1,4.811005093,1,3.196898189
0.436842105,-0.389314922,0.96969697,3.789387785,NaN,NaN
0.471698113,-0.903413718,0.902439024,2.693769597,NaN,NaN
0.550632911,0.122670988,0.981818182,3.886321054,0.891566265,2.814471153
0.455399061,-0.240445849,1,3.752241828,1,2.746785358
0.411290323,-0.34006086,0.989690722,4.35681171,0.968,3.914027919
0.492647059,-0.292931816,0.989247312,4.294970212,0.942857143,3.157945289
0.526595745,0.235244042,1,4.25835372,NaN,NaN
0.493150685,-0.035816632,0.967741935,3.736012619,0.984293194,4.343034331
