PvalU,ESU,PvalC,ESC,PvalSub,ESSub
0.787,0.29,0.792,-0.86,NaN,NaN
0.043,1.73,0.034,2.31,NaN,NaN
0.993,-0.33,0.993,-2.48,NaN,NaN
0.215,0.82,0.215,1.14,NaN,NaN
0.545,0.66,0.809,-0.84,NaN,NaN
0.647,0.44,0.647,-0.37,NaN,NaN
0.957,-0.28,0.957,-1.67,NaN,NaN
0.31,0.96,0.654,-0.38,NaN,NaN
0.346,0.91,0.378,0.3,NaN,NaN
0.319,0.46,0.312,1.03,NaN,NaN
0.082,1.85,0.359,0.4,NaN,NaN
0.026,2.08,0.686,-0.52,NaN,NaN
0.012,2.32,0.002,4.26,0.082,1.4
0.306,0.88,0.306,0.54,NaN,NaN
0.003,2.9,0.002,3.99,0.254,0.63
0.003,2.69,0.003,3.23,0.416,0.2
0.024,2.35,0.032,1.85,NaN,NaN
0.072,1.52,0.072,1.63,NaN,NaN
0.018,2.32,0.14,1.08,NaN,NaN
0.006,2.86,0.008,2.61,0.684,-0.49
0.985,-2.15,0.985,-0.08,NaN,NaN
0.008,2.51,0.002,4.22,0.105,1.28
0.158,1,0.148,1.41,NaN,NaN
0.024,2.39,0.45,0.09,NaN,NaN
0.332,1.01,0.662,-0.47,NaN,NaN
