Upval1,UeffectSize1,Cpval1,CeffectSize1,Upval2,UeffectSize2,Cpval2,CeffectSize2
0.001,11.42,0.001,27.5,0.001,9.03,0.001,23.8
0.001,-11.42,0.001,-27.5,0.001,-9.03,0.001,-23.8
0.001,4.48,0.001,14.11,0.001,5.51,0.001,13.26
0.768,-0.71,0.773,-0.81,0.076,1.45,0.79,-0.84
0.001,6.19,0.001,5.15,0.266,0.63,0.002,3.1
0.001,9.48,0.001,32.51,0.001,11.13,0.001,27.78
0.001,-12.76,0.001,-32.13,0.001,-11.47,0.001,-27.67
0.001,6.76,0.001,19.06,0.001,7.56,0.001,14.8
0.001,-4.42,0.001,-16.97,0.001,-5.02,0.001,-15.05
0.002,3.41,0.001,8.91,0.001,4.68,0.001,8.05
0.883,-1.17,0.675,-0.45,0.032,2,0.454,0.1
0.006,2.72,0.01,2.39,0.057,1.6,0.011,2.63
0.001,7.01,0.001,17.58,0.001,7.38,0.001,14.75
0.001,-5.21,0.001,-20.28,0.001,-5.32,0.001,-17.71
