PvalU,ESU,PvalC,ESC,PvalSub,ESSub
0.095,1.66,0.095,1.3,NaN,NaN
0.041,1.68,0.002,4.57,0.948,1.63
0.08,1.75,0.768,-0.73,NaN,NaN
0.038,1.72,0.006,2.75,0.627,0.35
0.084,1.72,0.304,0.47,NaN,NaN
0.028,2.15,0.208,0.77,NaN,NaN
0.008,3.07,0.396,0.25,0.01,-2.32
0.058,1.87,0.162,1.01,NaN,NaN
0.031,2.16,0.031,1.98,NaN,NaN
0.024,2.01,0.006,2.87,0.573,0.19
0.25,1.06,0.25,0.68,NaN,NaN
0.402,0.88,0.423,0.16,NaN,NaN
0.188,0.81,0.002,3.91,0.031,1.9
0.095,1.24,0.095,1.57,NaN,NaN
0.429,0.18,0.006,2.8,0.038,1.73
0.214,0.79,0.062,2.07,NaN,NaN
0.678,-0.47,0.098,1.73,NaN,NaN
0.279,0.58,0.016,2.48,0.109,1.17
0.428,0.19,0.106,1.69,NaN,NaN
0.684,-0.49,0.056,2.01,NaN,NaN
0.178,1.44,0.189,0.87,NaN,NaN
0.777,-0.76,0.016,2.53,0.008,2.34
0.534,-0.1,0.534,0.41,NaN,NaN
0.69,-0.33,0.69,-0.49,NaN,NaN
0.92,-0.45,0.92,-1.38,NaN,NaN
