PvalU,ESU,PvalC,ESC,PvalSub,ESSub
0.096,1.72,0.749,-0.68,NaN,NaN
0.022,2.12,0.006,2.96,0.613,0.36
0.034,2.11,0.986,-2.11,NaN,NaN
0.029,1.94,0.029,2.04,NaN,NaN
0.058,1.94,0.711,-0.56,NaN,NaN
0.012,2.7,0.203,0.85,0.075,-1.45
0.002,3.57,0.933,-1.5,0.001,-3.54
0.02,2.54,0.469,0.09,0.04,-1.8
0.01,2.35,0.234,0.68,0.095,-1.31
0.008,2.56,0.138,1.1,0.111,-1.18
0.246,0.69,0.246,0.78,NaN,NaN
0.349,0.41,0.334,0.95,NaN,NaN
0.137,1.02,0.002,4.81,0.013,2.31
0.12,1.15,0.04,2.12,NaN,NaN
0.767,-0.71,0.004,3.54,0.004,2.73
0.31,0.51,0.008,2.84,0.071,1.45
0.751,-0.69,0.088,1.86,NaN,NaN
0.405,0.28,0.146,1.44,NaN,NaN
0.417,0.18,0.056,1.98,NaN,NaN
0.758,-0.7,0.018,2.38,0.028,2.02
0.034,2.17,0.482,0.06,NaN,NaN
0.845,-1.05,0.006,2.98,0.007,2.66
0.685,-0.45,0.38,0.86,NaN,NaN
0.623,-0.31,0.623,-0.28,NaN,NaN
0.848,-0.98,0.848,-0.55,NaN,NaN
