Upval1,UeffectSize1,Cpval1,CeffectSize1,Upval2,UeffectSize2,Cpval2,CeffectSize2
0.077,1.49,0.001,25.54,0.001,4.06,0.001,27.14
0.077,-1.49,0.001,-25.54,0.001,-4.06,0.001,-27.14
0.096,1.31,0.001,7.3,0.001,3.03,0.001,14.28
0.273,0.59,0.998,-2.63,0.195,0.86,0.778,-0.79
0.147,1.07,0.001,3.84,0.065,1.51,0.014,2.37
0.111,1.19,0.001,28.75,0.016,2.18,0.001,31.36
0.01,-2.29,0.001,-27.41,0.001,-3.72,0.001,-31.27
0.094,1.34,0.001,15.77,0.007,2.69,0.001,17.51
0.883,1.25,0.001,-14.9,0.48,-0.06,0.001,-16.8
0.022,2.09,0.001,6.55,0.685,-0.53,0.001,7.09
0.091,1.37,0.797,-0.82,0.056,1.6,0.28,0.56
0.038,1.94,0.027,1.94,0.218,0.75,0.29,0.57
0.221,0.75,0.001,15.05,0.071,1.45,0.001,14.72
0.978,2.06,0.001,-15.39,0.807,0.86,0.001,-18.54
