Upval1,UeffectSize1,Cpval1,CeffectSize1,Upval2,UeffectSize2,Cpval2,CeffectSize2
0.026,1.91,0.001,21.8,0.001,3.78,0.001,25.57
0.026,-1.91,0.001,-21.8,0.001,-3.78,0.001,-25.57
0.046,1.72,0.001,9.36,0.044,1.78,0.001,13.32
0.399,0.26,0.889,-1.22,0.755,-0.62,0.947,-1.63
0.083,1.37,0.002,3.46,0.14,1.08,0.001,3.28
0.08,1.47,0.001,26.39,0.014,2.09,0.001,29.93
0.005,-2.58,0.001,-24.8,0.008,-2.36,0.001,-30.17
0.026,1.99,0.001,14.83,0.079,1.44,0.001,16.56
0.772,0.75,0.001,-13.59,0.715,0.55,0.001,-16.01
0.02,2.34,0.001,6.06,0.584,-0.26,0.001,7.89
0.045,1.64,0.383,0.33,0.155,1.01,0.205,0.8
0.022,2.12,0.368,0.28,0.453,0.05,0.247,0.73
0.093,1.31,0.001,14.92,0.205,0.84,0.001,16.28
0.972,1.94,0.001,-15.48,0.814,0.9,0.001,-17.53
