Upval1,UeffectSize1,Cpval1,CeffectSize1,Upval2,UeffectSize2,Cpval2,CeffectSize2
0.732,-0.66,0.001,6.26,0.124,1.17,0.001,9.49
0.732,0.66,0.001,-6.26,0.124,-1.17,0.001,-9.49
0.931,-1.43,0.031,1.91,0.059,1.57,0.001,4.43
0.805,-0.92,0.049,1.69,0.81,-0.9,0.372,0.34
0.889,-1.2,0.876,-1.14,0.459,0.1,0.874,-1.17
0.199,0.87,0.001,9.13,0.033,1.83,0.001,11.7
0.774,0.72,0.001,-8.58,0.128,-1.12,0.001,-10.31
0.693,-0.51,0.001,4.56,0.783,-0.83,0.003,3.22
0.828,0.93,0.001,-6.79,0.623,0.26,0.001,-5.97
0.799,-0.84,0.005,2.84,0.599,-0.31,0.012,2.73
0.731,-0.63,0.637,-0.33,0.533,-0.13,0.717,-0.62
0.371,0.29,0.885,-1.18,0.845,-0.99,0.834,-0.95
0.28,0.55,0.001,4.6,0.745,-0.67,0.002,3.81
0.506,-0.02,0.001,-8.37,0.937,1.58,0.001,-7.58
