FVpval,FVeffectSize,Cpval1,CeffectSize1,Cpval2,CeffectSize2
0.001,137.03,0.001,34.53,0.001,33.68
0.001,-137.03,0.001,-34.53,0.001,-33.68
0.001,74.98,0.001,16.34,0.001,17.09
1,-53.7,0.96,-1.73,0.87,-1.12
0.001,83.59,0.001,5.25,0.003,3.07
0.001,153.86,0.001,41.44,0.001,39.83
0.001,-155.89,0.001,-39.16,0.001,-38.97
0.001,85.28,0.001,23.79,0.001,20.98
0.001,-54.75,0.001,-20.82,0.001,-20.97
0.001,28.02,0.001,9.05,0.001,9.03
1,-12.2,0.498,-0.01,0.399,0.26
0.001,26.32,0.006,2.59,0.281,0.61
0.001,70.81,0.001,21.4,0.001,18.11
0.001,-74.09,0.001,-23.75,0.001,-23.6
