Upval1,UeffectSize1,Cpval1,CeffectSize1,Upval2,UeffectSize2,Cpval2,CeffectSize2
0.001,3.74,0.001,41.5,0.106,1.26,0.001,22.91
0.001,-3.74,0.001,-41.5,0.106,-1.26,0.001,-22.91
0.003,3.02,0.001,21.81,0.081,1.37,0.001,10.03
0.397,0.28,0.806,-0.87,0.181,0.93,0.999,-2.72
0.021,2.04,0.001,5.16,0.132,1.12,0.038,1.8
0.026,1.93,0.001,47.72,0.049,1.61,0.001,28.27
0.002,-3.47,0.001,-45.56,0.001,-3.16,0.001,-25.77
0.042,1.78,0.001,25.49,0.13,1.21,0.001,15.99
0.698,0.51,0.001,-22.3,0.947,1.55,0.001,-15.15
0.126,1.16,0.001,9.46,0.112,1.24,0.001,7.35
0.135,1.13,0.38,0.34,0.186,0.88,0.88,-1.16
0.094,1.31,0.251,0.61,0.037,1.86,0.038,1.94
0.609,-0.31,0.001,23.13,0.227,0.74,0.001,15.27
0.997,3.1,0.001,-27.92,0.868,1.09,0.001,-15.98
