Upval1,UeffectSize1,Cpval1,CeffectSize1,Upval2,UeffectSize2,Cpval2,CeffectSize2
0.018,2.04,0.001,34.53,0.001,4.12,0.001,33.68
0.018,-2.04,0.001,-34.53,0.001,-4.12,0.001,-33.68
0.075,1.53,0.002,16.34,0.01,2.6,0.002,17.09
0.356,0.39,0.96,-1.73,0.162,1.01,0.87,-1.12
0.169,1.25,0.001,5.25,0.123,1.33,0.004,3.07
0.082,1.74,0.001,41.44,0.028,2.26,0.002,39.83
0.016,-2.72,0.001,-39.16,0.004,-3.86,0.002,-38.97
0.094,1.78,0.001,23.79,0.11,1.62,0.001,20.98
0.777,0.78,0.001,-20.82,0.57,0.15,0.001,-20.97
0.017,2.36,0.002,9.05,0.636,-0.37,0.002,9.03
0.122,1.61,0.498,-0.01,0.282,1.41,0.399,0.26
0.122,1.81,0.008,2.59,0.566,0.19,0.374,0.61
0.188,1.1,0.002,21.4,0.282,1.06,0.002,18.11
0.976,2.04,0.002,-23.75,0.917,1.38,0.002,-23.6
