Upval1,UeffectSize1,Cpval1,CeffectSize1,Upval2,UeffectSize2,Cpval2,CeffectSize2
0.073,1.44,0.001,31.82,0.002,3.16,0.001,29.44
0.073,-1.44,0.001,-31.82,0.002,-3.16,0.001,-29.44
0.01,2.33,0.001,15.72,0.005,2.85,0.001,16.09
0.113,1.17,0.999,-2.95,0.073,1.51,0.994,-2.32
0.022,2.01,0.001,6.46,0.439,0.15,0.001,5.28
0.496,0.01,0.001,36.13,0.008,2.39,0.001,33.24
0.012,-2.35,0.001,-34.69,0.002,-3.18,0.001,-31.59
0.012,2.46,0.001,21.25,0.22,0.77,0.001,20.42
0.831,0.95,0.001,-18.9,0.758,0.69,0.001,-19.8
0.01,2.86,0.001,8.57,0.538,-0.12,0.001,8.74
0.012,2.33,0.996,-2.61,0.012,2.6,0.863,-1.12
0.192,0.91,0.001,3.89,0.424,0.2,0.047,1.77
0.236,0.75,0.001,18.93,0.312,0.52,0.001,17.76
0.957,1.67,0.001,-21.65,0.547,0.08,0.001,-21.59
