PvalU,ESU,PvalC,ESC,PvalSub,ESSub
0.022,2.21,0.384,0.27,0.079,-1.41
0.031,1.91,0.002,3.93,0.897,1.22
0.022,2.35,0.938,-1.52,0.003,-2.65
0.017,2.17,0.012,2.42,0.517,0.05
0.04,2.07,0.556,-0.17,NaN,NaN
0.05,2.05,0.181,0.91,NaN,NaN
0.004,3.16,0.766,-0.76,0.002,-2.86
0.056,2.01,0.407,0.23,NaN,NaN
0.03,2.22,0.104,1.27,0.211,-0.8
0.022,2.4,0.024,2.08,0.336,-0.45
0.653,-0.37,0.653,0.46,NaN,NaN
0.251,0.88,0.251,0.62,NaN,NaN
0.21,0.81,0.002,4.53,0.015,2.31
0.391,0.27,0.048,2.03,NaN,NaN
0.78,-0.78,0.002,3.35,0.003,2.73
0.277,0.62,0.01,3,0.063,1.52
0.554,-0.14,0.02,2.45,0.048,1.7
0.153,1.04,0.018,2.41,0.249,0.7
0.455,0.16,0.026,2.34,0.067,1.46
0.511,-0.03,0.014,3.06,0.025,2.04
0.238,0.74,0.238,0.78,NaN,NaN
0.605,-0.3,0.002,3.59,0.009,2.53
0.27,0.63,0.27,1.09,NaN,NaN
0.563,0.07,0.563,-0.19,NaN,NaN
0.724,-0.44,0.724,-0.58,NaN,NaN
