Upval1,UeffectSize1,Cpval1,CeffectSize1,Upval2,UeffectSize2,Cpval2,CeffectSize2
0.111,1.29,0.001,28.22,0.001,3.33,0.001,30.82
0.111,-1.29,0.001,-28.22,0.001,-3.33,0.001,-30.82
0.059,1.56,0.001,14.78,0.003,2.65,0.001,15.29
0.783,-0.75,0.929,-1.45,0.235,0.69,0.761,-0.68
0.012,2.31,0.001,5.78,0.294,0.53,0.003,2.77
0.22,0.8,0.001,33.31,0.013,2.27,0.001,38.2
0.028,-1.8,0.001,-32.72,0.003,-2.97,0.001,-36.54
0.13,1.13,0.001,18.78,0.13,1.17,0.001,19.73
0.636,0.32,0.001,-17.41,0.663,0.42,0.001,-19.39
0.142,1.04,0.001,6.71,0.611,-0.32,0.001,9.14
0.067,1.52,0.891,-1.26,0.111,1.22,0.323,0.43
0.151,1.01,0.057,1.64,0.316,0.46,0.159,1.02
0.702,-0.58,0.001,17.89,0.149,1.03,0.001,19.55
0.954,1.73,0.001,-20.04,0.901,1.25,0.001,-22.43
